PV_worst, load_worst
1.69,274.24
1.69,272.70
1.70,275.05
1.70,273.93
1.70,273.78
2.04,275.79
2.04,272.20
2.04,275.36
2.04,273.64
2.04,274.62
2.38,275.65
2.38,274.92
2.37,274.48
2.37,276.82
2.37,273.67
2.71,277.08
2.71,273.28
2.71,275.03
2.71,274.30
2.71,273.83
3.05,275.37
3.05,274.18
3.05,274.69
3.05,275.63
3.05,273.36
3.39,275.50
3.05,272.50
11.20,272.63
20.25,271.21
32.26,268.17
24.03,269.40
61.09,267.20
100.43,254.95
134.85,257.70
154.72,256.20
175.30,257.29
219.93,239.60
254.65,240.80
279.30,240.28
292.74,239.56
340.51,307.25
361.72,307.92
297.31,305.18
351.86,308.06
416.67,307.39
429.71,306.14
442.35,307.73
449.06,305.71
461.40,306.53
488.76,306.96
463.42,305.38
470.25,307.78
469.09,238.51
464.63,239.00
473.55,239.15
460.17,238.32
423.19,306.43
434.96,308.74
427.65,306.77
459.30,236.80
420.96,305.47
391.90,307.63
353.96,305.57
398.35,306.53
299.94,306.29
250.51,304.22
142.10,303.02
242.08,234.34
106.98,303.31
119.45,236.89
54.81,236.52
60.86,236.37
64.45,245.65
61.14,246.92
31.31,244.65
12.15,244.57
4.71,253.04
0.36,253.32
0.36,252.64
0.36,252.96
0.72,259.81
0.72,259.43
0.63,260.34
0.63,259.19
1.07,265.03
1.07,264.65
1.07,264.52
1.07,265.32
1.40,270.32
1.32,271.09
1.40,271.39
1.40,270.91
1.72,275.36
1.67,274.63
1.72,275.75
1.72,275.84
