DATE (MM/DD/YYYY),HST,Global Horizontal [W/m^2],Air Temperature [deg C],Avg Wind Speed @ 10m [m/s]
1/22/2025,00:00,-2.71231,22.22,1.145
1/22/2025,00:01,-2.53796,22.2,1.243
1/22/2025,00:02,-2.32484,22.19,1.24
1/22/2025,00:03,-2.32484,22.19,1.201
1/22/2025,00:04,-2.32484,22.18,1.026
1/22/2025,00:05,-2.32485,22.19,1.096
1/22/2025,00:06,-2.32485,22.18,1.284
1/22/2025,00:07,-2.32486,22.2,1.253
1/22/2025,00:08,-2.32486,22.19,1.181
1/22/2025,00:09,-2.32487,22.19,1.116
1/22/2025,00:10,-2.32488,22.19,1.055
1/22/2025,00:11,-2.32488,22.2,1.068
1/22/2025,00:12,-2.32489,22.19,1.065
1/22/2025,00:13,-2.32489,22.18,1.148
1/22/2025,00:14,-2.32489,22.17,1.055
1/22/2025,00:15,-2.32490,22.16,1.173
1/22/2025,00:16,-2.32490,22.16,1.138
1/22/2025,00:17,-2.32490,22.16,1.111
1/22/2025,00:18,-2.32490,22.16,1.052
1/22/2025,00:19,-2.32490,22.15,1.003
1/22/2025,00:20,-2.32491,22.16,0.8
1/22/2025,00:21,-2.32491,22.14,0.771
1/22/2025,00:22,-2.32491,22.12,0.706
1/22/2025,00:23,-2.32491,22.1,0.693
1/22/2025,00:24,-2.32491,22.08,0.822
1/22/2025,00:25,-2.32491,22.06,0.893
1/22/2025,00:26,-2.32491,22.04,0.97
1/22/2025,00:27,-2.32491,22,0.964
1/22/2025,00:28,-2.32491,21.97,0.995
1/22/2025,00:29,-2.32491,21.94,0.866
1/22/2025,00:30,-2.32491,21.91,1.022
1/22/2025,00:31,-2.32491,21.88,0.995
1/22/2025,00:32,-2.32491,21.86,1.122
1/22/2025,00:33,-2.32491,21.83,1.031
1/22/2025,00:34,-2.32491,21.81,1.047
1/22/2025,00:35,-2.32491,21.78,1.045
1/22/2025,00:36,-2.32491,21.75,1.127
1/22/2025,00:37,-2.32491,21.72,1.151
1/22/2025,00:38,-2.33137,21.68,1.111
1/22/2025,00:39,-2.47991,21.66,1.081
1/22/2025,00:40,-2.71240,21.62,0.951
1/22/2025,00:41,-2.71240,21.59,1.042
1/22/2025,00:42,-2.71240,21.57,1.091
1/22/2025,00:43,-2.71240,21.55,1.06
1/22/2025,00:44,-2.7124,21.53,0.995
1/22/2025,00:45,-2.84802,21.51,1.127
1/22/2025,00:46,-3.09989,21.47,1.147
1/22/2025,00:47,-3.09989,21.44,1.104
1/22/2025,00:48,-3.09989,21.41,1.173
1/22/2025,00:49,-3.09989,21.38,1.181
1/22/2025,00:50,-3.09989,21.36,1.153
1/22/2025,00:51,-3.09989,21.34,1.183
1/22/2025,00:52,-3.09989,21.32,1.338
1/22/2025,00:53,-3.09989,21.3,1.256
1/22/2025,00:54,-3.09989,21.29,1.256
1/22/2025,00:55,-3.09989,21.27,1.163
1/22/2025,00:56,-3.09989,21.24,1.062
1/22/2025,00:57,-3.09989,21.19,0.934
1/22/2025,00:58,-3.09989,21.17,1.053
1/22/2025,00:59,-3.41633,21.15,1.15
1/22/2025,01:00,-3.48737,21.11,1.238
1/22/2025,01:01,-3.60362,21.08,1.406
1/22/2025,01:02,-3.83611,21.06,1.532
1/22/2025,01:03,-3.82965,21.02,1.596
1/22/2025,01:04,-3.86194,21,1.545
1/22/2025,01:05,-3.86194,20.98,1.491
1/22/2025,01:06,-3.57778,20.96,1.4
1/22/2025,01:07,-3.48737,20.96,1.276
1/22/2025,01:08,-3.46800,20.95,1.098
1/22/2025,01:09,-3.46154,20.93,1.124
1/22/2025,01:10,-3.45508,20.93,1.202
1/22/2025,01:11,-3.40342,20.92,1.243
1/22/2025,01:12,-3.15801,20.92,1.223
1/22/2025,01:13,-3.09989,20.91,1.277
1/22/2025,01:14,-3.09989,20.9,1.181
1/22/2025,01:15,-3.15155,20.88,1.122
1/22/2025,01:16,-3.44217,20.86,1.147
1/22/2025,01:17,-3.47446,20.84,1.174
1/22/2025,01:18,-3.48737,20.82,1.155
1/22/2025,01:19,-3.48737,20.81,1.099
1/22/2025,01:20,-3.48737,20.79,1.065
1/22/2025,01:21,-3.48091,20.77,1.032
1/22/2025,01:22,-3.43571,20.75,1
1/22/2025,01:23,-3.11926,20.73,1.018
1/22/2025,01:24,-3.09989,20.71,1.169
1/22/2025,01:25,-3.09989,20.69,1.194
1/22/2025,01:26,-3.09991,20.66,1.192
1/22/2025,01:27,-3.09993,20.62,1.176
1/22/2025,01:28,-3.09997,20.58,1.127
1/22/2025,01:29,-3.10002,20.56,1.147
1/22/2025,01:30,-3.10005,20.54,1.134
1/22/2025,01:31,-3.06131,20.51,1.138
1/22/2025,01:32,-2.62860,20.51,1.16
1/22/2025,01:33,-2.33153,20.48,1.143
1/22/2025,01:34,-2.32511,20.46,1.174
1/22/2025,01:35,-2.32514,20.44,1.173
1/22/2025,01:36,-2.27350,20.44,1.248
1/22/2025,01:37,-1.96348,20.43,1.248
1/22/2025,01:38,-1.92475,20.43,1.267
1/22/2025,01:39,-1.64058,20.44,1.303
1/22/2025,01:40,-1.55017,20.46,1.37
1/22/2025,01:41,-1.55019,20.48,1.338
1/22/2025,01:42,-1.55020,20.51,1.372
1/22/2025,01:43,-1.55021,20.53,1.267
1/22/2025,01:44,-1.55023,20.54,1.308
1/22/2025,01:45,-1.55024,20.57,1.199
1/22/2025,01:46,-1.47273,20.59,1.217
1/22/2025,01:47,-1.06580,20.61,1.145
1/22/2025,01:48,-0.775130,20.63,1.179
1/22/2025,01:49,-0.775132,20.65,1.272
1/22/2025,01:50,-0.775135,20.69,1.207
1/22/2025,01:51,-0.775138,20.71,1.093
1/22/2025,01:52,-0.775140,20.73,1.246
1/22/2025,01:53,-0.775142,20.75,1.361
1/22/2025,01:54,-0.775149,20.78,1.612
1/22/2025,01:55,-0.775152,20.81,1.733
1/22/2025,01:56,-0.755777,20.84,1.787
1/22/2025,01:57,-0.419878,20.88,1.847
1/22/2025,01:58,-0.387584,20.92,1.926
1/22/2025,01:59,-0.322989,20.96,1.891
1/22/2025,02:00,-0.064598,21,1.918
1/22/2025,02:01,-0.038759,21.04,1.896
1/22/2025,02:02,-0.025840,21.08,1.723
1/22/2025,02:03,-0.232556,21.12,1.674
1/22/2025,02:04,-0.368214,21.16,1.498
1/22/2025,02:05,-0.368213,21.17,1.522
1/22/2025,02:06,-0.387592,21.21,1.153
1/22/2025,02:07,-0.381132,21.24,1.122
1/22/2025,02:08,-0.387590,21.27,0.934
1/22/2025,02:09,-0.387589,21.28,1.022
1/22/2025,02:10,-0.387590,21.3,1.202
1/22/2025,02:11,-0.387590,21.32,1.006
1/22/2025,02:12,-0.413430,21.32,1.334
1/22/2025,02:13,-0.432810,21.35,1.496
1/22/2025,02:14,-0.452189,21.37,1.63
1/22/2025,02:15,-0.439268,21.39,1.788
1/22/2025,02:16,-0.387589,21.43,1.818
1/22/2025,02:17,-0.387588,21.46,1.967
1/22/2025,02:18,-0.387588,21.51,1.895
1/22/2025,02:19,-0.387587,21.54,1.751
1/22/2025,02:20,-0.387583,21.57,1.594
1/22/2025,02:21,-0.387579,21.6,1.334
1/22/2025,02:22,-0.387572,21.62,1.382
1/22/2025,02:23,-0.387568,21.64,1.349
1/22/2025,02:24,-0.387567,21.65,1.421
1/22/2025,02:25,-0.684702,21.66,1.529
1/22/2025,02:26,-0.775127,21.66,1.486
1/22/2025,02:27,-0.775123,21.68,1.566
1/22/2025,02:28,-0.775118,21.69,1.65
1/22/2025,02:29,-0.775110,21.71,1.726
1/22/2025,02:30,-0.775105,21.72,1.782
1/22/2025,02:31,-0.775101,21.74,1.821
1/22/2025,02:32,-0.775099,21.76,1.823
1/22/2025,02:33,-0.775096,21.77,1.767
1/22/2025,02:34,-0.775095,21.79,1.651
1/22/2025,02:35,-0.775094,21.79,1.962
1/22/2025,02:36,-0.981786,21.81,1.886
1/22/2025,02:37,-1.16264,21.83,1.789
1/22/2025,02:38,-1.22722,21.85,1.867
1/22/2025,02:39,-1.55017,21.86,1.645
1/22/2025,02:40,-1.55017,21.87,1.74
1/22/2025,02:41,-1.61475,21.88,1.895
1/22/2025,02:42,-1.93769,21.88,1.601
1/22/2025,02:43,-2.24771,21.88,1.725
1/22/2025,02:44,-2.32519,21.87,1.787
1/22/2025,02:45,-2.32518,21.84,1.854
1/22/2025,02:46,-2.58351,21.81,2.065
1/22/2025,02:47,-2.71266,21.79,2.29
1/22/2025,02:48,-2.71910,21.76,2.453
1/22/2025,02:49,-2.71908,21.74,2.445
1/22/2025,02:50,-2.71259,21.75,2.635
1/22/2025,02:51,-2.71258,21.74,2.13
1/22/2025,02:52,-2.71256,21.72,2.282
1/22/2025,02:53,-2.71900,21.7,2.184
1/22/2025,02:54,-2.82878,21.69,1.921
1/22/2025,02:55,-3.00960,21.68,1.996
1/22/2025,02:56,-3.10000,21.67,1.847
1/22/2025,02:57,-3.09999,21.65,1.741
1/22/2025,02:58,-3.09998,21.63,1.916
1/22/2025,02:59,-3.09997,21.6,1.79
1/22/2025,03:00,-3.09996,21.57,1.896
1/22/2025,03:01,-3.09995,21.55,1.805
1/22/2025,03:02,-3.09994,21.54,1.775
1/22/2025,03:03,-3.09994,21.53,1.677
1/22/2025,03:04,-3.09993,21.51,1.486
1/22/2025,03:05,-3.09994,21.47,1.63
1/22/2025,03:06,-3.09995,21.46,1.81
1/22/2025,03:07,-3.09995,21.44,1.635
1/22/2025,03:08,-3.09997,21.42,1.739
1/22/2025,03:09,-3.09998,21.41,1.779
1/22/2025,03:10,-3.09999,21.38,1.731
1/22/2025,03:11,-3.09999,21.35,1.539
1/22/2025,03:12,-3.09999,21.31,1.437
1/22/2025,03:13,-3.09998,21.28,1.496
1/22/2025,03:14,-3.09998,21.23,1.705
1/22/2025,03:15,-3.09997,21.18,1.637
1/22/2025,03:16,-3.09997,21.16,1.741
1/22/2025,03:17,-3.09996,21.13,1.826
1/22/2025,03:18,-3.10642,21.09,1.638
1/22/2025,03:19,-3.09995,21.06,1.733
1/22/2025,03:20,-3.11286,21.03,1.841
1/22/2025,03:21,-3.10640,20.98,1.837
1/22/2025,03:22,-3.13868,20.95,1.769
1/22/2025,03:23,-3.11932,20.91,1.953
1/22/2025,03:24,-3.09996,20.88,2.158
1/22/2025,03:25,-3.10000,20.85,1.886
1/22/2025,03:26,-3.10004,20.83,2.073
1/22/2025,03:27,-3.10007,20.81,1.841
1/22/2025,03:28,-3.10011,20.79,1.991
1/22/2025,03:29,-3.10013,20.77,1.971
1/22/2025,03:30,-3.10015,20.77,1.947
1/22/2025,03:31,-3.10018,20.76,2.094
1/22/2025,03:32,-3.10021,20.76,1.986
1/22/2025,03:33,-3.10025,20.76,1.986
1/22/2025,03:34,-3.10027,20.76,1.862
1/22/2025,03:35,-3.10030,20.77,1.953
1/22/2025,03:36,-3.10034,20.77,2.22
1/22/2025,03:37,-2.89367,20.77,2.185
1/22/2025,03:38,-2.80326,20.76,2.102
1/22/2025,03:39,-2.82267,20.75,1.882
1/22/2025,03:40,-3.07457,20.72,1.597
1/22/2025,03:41,-3.10041,20.7,2.037
1/22/2025,03:42,-3.10043,20.7,2.243
1/22/2025,03:43,-3.10046,20.7,2.18
1/22/2025,03:44,-3.10048,20.69,2.076
1/22/2025,03:45,-3.10048,20.7,1.994
1/22/2025,03:46,-3.08109,20.69,2.038
1/22/2025,03:47,-2.9713,20.7,1.996
1/22/2025,03:48,-2.72586,20.71,1.996
1/22/2025,03:49,-2.71295,20.73,1.602
1/22/2025,03:50,-2.71297,20.76,2.107
1/22/2025,03:51,-2.70652,20.78,2.169
1/22/2025,03:52,-2.54503,20.78,2.163
1/22/2025,03:53,-2.49337,20.77,2.437
1/22/2025,03:54,-2.55151,20.78,2.347
1/22/2025,03:55,-2.68716,20.78,2.455
1/22/2025,03:56,-2.70655,20.76,1.947
1/22/2025,03:57,-2.71301,20.75,1.855
1/22/2025,03:58,-2.71302,20.72,1.922
1/22/2025,03:59,-2.71948,20.71,1.965
1/22/2025,04:00,-2.86159,20.68,2.017
1/22/2025,04:01,-2.92619,20.65,2.038
1/22/2025,04:02,-2.80992,20.62,2.239
1/22/2025,04:03,-2.71303,20.6,2.345
1/22/2025,04:04,-2.71303,20.58,2.43
1/22/2025,04:05,-2.71949,20.58,2.323
1/22/2025,04:06,-2.71303,20.58,2.566
1/22/2025,04:07,-2.71303,20.58,2.886
1/22/2025,04:08,-2.55801,20.62,2.932
1/22/2025,04:09,-2.32546,20.66,3
1/22/2025,04:10,-2.32546,20.69,3.361
1/22/2025,04:11,-2.32546,20.72,3.415
1/22/2025,04:12,-2.32546,20.76,3.322
1/22/2025,04:13,-2.32546,20.78,2.597
1/22/2025,04:14,-2.32546,20.8,2.514
1/22/2025,04:15,-2.32546,20.8,2.643
1/22/2025,04:16,-2.32546,20.83,2.359
1/22/2025,04:17,-2.32546,20.85,2.341
1/22/2025,04:18,-2.32546,20.9,2.337
1/22/2025,04:19,-2.32546,20.95,2.326
1/22/2025,04:20,-2.32546,20.98,2.296
1/22/2025,04:21,-2.32546,21.04,2.483
1/22/2025,04:22,-2.32546,21.07,2.282
1/22/2025,04:23,-2.32547,21.11,1.88
1/22/2025,04:24,-2.32548,21.15,1.934
1/22/2025,04:25,-2.32550,21.16,1.684
1/22/2025,04:26,-2.32552,21.16,1.762
1/22/2025,04:27,-2.32554,21.16,1.707
1/22/2025,04:28,-2.32555,21.15,1.756
1/22/2025,04:29,-2.34493,21.11,2.001
1/22/2025,04:30,-2.68732,21.07,2.311
1/22/2025,04:31,-2.71317,21.04,2.398
1/22/2025,04:32,-2.71318,20.99,2.207
1/22/2025,04:33,-2.71965,20.96,2.184
1/22/2025,04:34,-2.71319,20.94,2.012
1/22/2025,04:35,-2.71966,20.93,2.123
1/22/2025,04:36,-2.71320,20.91,1.934
1/22/2025,04:37,-2.71319,20.9,1.994
1/22/2025,04:38,-2.71319,20.87,1.906
1/22/2025,04:39,-2.83591,20.84,2.029
1/22/2025,04:40,-3.10076,20.79,2.18
1/22/2025,04:41,-3.10075,20.74,1.816
1/22/2025,04:42,-3.10074,20.69,1.764
1/22/2025,04:43,-3.10073,20.65,1.658
1/22/2025,04:44,-3.10072,20.6,1.759
1/22/2025,04:45,-3.10071,20.56,1.597
1/22/2025,04:46,-3.10070,20.54,1.521
1/22/2025,04:47,-3.10069,20.51,1.89
1/22/2025,04:48,-3.10069,20.47,2.071
1/22/2025,04:49,-3.1007,20.45,1.918
1/22/2025,04:50,-3.10070,20.42,1.808
1/22/2025,04:51,-3.10070,20.38,1.955
1/22/2025,04:52,-3.10070,20.34,1.898
1/22/2025,04:53,-3.10070,20.29,2.053
1/22/2025,04:54,-3.10069,20.24,1.962
1/22/2025,04:55,-3.10715,20.2,1.927
1/22/2025,04:56,-3.23634,20.15,2.233
1/22/2025,04:57,-3.45598,20.12,2.386
1/22/2025,04:58,-3.48183,20.09,2.256
1/22/2025,04:59,-3.47537,20.07,2.403
1/22/2025,05:00,-3.32034,20.05,2.497
