Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,25109,-,-,-,21.29,-157.86,-10,6,-10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.1.dev11+g50a59bd
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2002,1,1,0,30,22.900000000000002,0.36,0.045,0.7000000000000001,0,0,0,0,2,16.7,0,0,0,0,0.229,68.1,177.95000000000002,0.97,0.06,1027,1.8,351,3.9000000000000004
2002,1,1,1,30,22.8,0.35000000000000003,0.047,0.7000000000000001,0,0,0,0,1,16.7,0,0,0,0,0.229,68.60000000000001,167.15,0.97,0.06,1027,1.9000000000000001,350,4
2002,1,1,2,30,22.700000000000003,0.34,0.048,0.7000000000000001,0,0,0,0,1,16.8,0,0,0,0,0.229,69.24,153.35,0.97,0.06,1027,1.9000000000000001,348,4.1000000000000005
2002,1,1,3,30,22.5,0.34,0.049,0.7000000000000001,0,0,0,0,2,16.8,0,0,0,0,0.229,70.25,139.59,0.97,0.06,1027,2,346,4.1000000000000005
2002,1,1,4,30,22.400000000000002,0.35000000000000003,0.048,0.7000000000000001,0,0,0,0,1,16.8,0,0,0,0,0.23,70.7,125.93,0.97,0.06,1027,2,345,4.1000000000000005
2002,1,1,5,30,22.3,0.35000000000000003,0.047,0.7000000000000001,0,0,0,0,1,16.900000000000002,0,0,0,0,0.231,71.37,112.45,0.97,0.06,1027,2,350,4.1000000000000005
2002,1,1,6,30,22.3,0.36,0.046,0.7000000000000001,0,0,0,0,0,16.900000000000002,0,0,0,0,0.232,71.46000000000001,99.25,0.97,0.06,1028,2,178,4
2002,1,1,7,30,22.6,0.38,0.044,0.7000000000000001,24,270,42,0,1,16.900000000000002,24,270,0,42,0.232,70.28,86.25,0.96,0.06,1028,2,5,4
2002,1,1,8,30,23,0.39,0.043000000000000003,0.7000000000000001,57,682,242,0,0,16.8,57,682,0,242,0.232,68.13,74.24,0.96,0.06,1029,2,11,4
2002,1,1,9,30,23.200000000000003,0.41000000000000003,0.042,0.7000000000000001,71,834,448,0,0,16.6,71,834,0,448,0.233,66.54,63.14,0.96,0.06,1029,2,18,3.7
2002,1,1,10,30,23.400000000000002,0.42,0.04,0.7000000000000001,79,911,618,0,1,16.5,79,911,0,618,0.233,65.2,53.71,0.96,0.06,1029,1.9000000000000001,22,3.4000000000000004
2002,1,1,11,30,23.6,0.41000000000000003,0.044,0.7000000000000001,86,941,728,0,1,16.2,86,941,0,728,0.233,63.34,46.99,0.96,0.06,1028,1.9000000000000001,21,2.9000000000000004
2002,1,1,12,30,23.8,0.44,0.042,0.7000000000000001,86,956,771,0,1,15.8,86,956,0,771,0.232,60.95,44.25,0.96,0.06,1027,1.9000000000000001,13,2.5
2002,1,1,13,30,24,0.46,0.041,0.7000000000000001,84,949,741,0,1,15.5,84,949,0,741,0.232,58.83,46.2,0.96,0.06,1026,1.9000000000000001,183,2.2
2002,1,1,14,30,24.200000000000003,0.45,0.043000000000000003,0.7000000000000001,81,916,642,0,0,15.200000000000001,81,916,0,642,0.232,57.27,52.31,0.96,0.06,1026,1.9000000000000001,180,1.9000000000000001
2002,1,1,15,30,24.3,0.48,0.041,0.7000000000000001,72,856,483,0,0,14.9,72,856,0,483,0.232,55.81,61.36,0.96,0.06,1026,1.9000000000000001,4,1.6
2002,1,1,16,30,24.3,0.51,0.038,0.7000000000000001,58,733,281,0,0,14.600000000000001,58,733,0,281,0.232,54.77,72.23,0.96,0.06,1026,1.9000000000000001,11,1.4000000000000001
2002,1,1,17,30,24.1,0.52,0.038,0.7000000000000001,31,409,73,0,0,14.8,31,409,0,73,0.233,55.94,84.15,0.96,0.06,1027,1.8,23,1.4000000000000001
2002,1,1,18,30,24,0.53,0.037,0.7000000000000001,0,0,0,0,1,15,0,0,0,0,0.233,57.13,96.99000000000001,0.96,0.06,1027,1.8,43,1.4000000000000001
2002,1,1,19,30,23.8,0.54,0.036000000000000004,0.7000000000000001,0,0,0,0,0,15,0,0,0,0,0.234,57.68,110.14,0.96,0.06,1028,1.8,64,1.4000000000000001
2002,1,1,20,30,23.700000000000003,0.56,0.036000000000000004,0.7000000000000001,0,0,0,0,1,14.8,0,0,0,0,0.234,57.54,123.58,0.96,0.06,1028,1.7000000000000002,85,1.4000000000000001
2002,1,1,21,30,23.6,0.5700000000000001,0.036000000000000004,0.7000000000000001,0,0,0,0,1,14.600000000000001,0,0,0,0,0.234,57.1,137.22,0.96,0.06,1027,1.7000000000000002,108,1.2000000000000002
