Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,25109,-,-,-,21.29,-157.86,-10,6,-10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,30,24.200000000000003,0.61,0.08700000000000001,0.7000000000000001,0,0,0,0,0,20.5,0,0,0,0,0.248,79.82000000000001,177.95000000000002,0.96,0.07,1026,3,90,2.7
2014,1,1,1,30,24.1,0.62,0.085,0.7000000000000001,0,0,0,0,1,20.5,0,0,0,0,0.248,80.34,167.15,0.96,0.07,1026,3,89,2.4000000000000004
2014,1,1,2,30,24,0.64,0.081,0.7000000000000001,0,0,0,0,0,20.400000000000002,0,0,0,0,0.249,80.5,153.36,0.96,0.07,1025,3,83,2
2014,1,1,3,30,24,0.66,0.075,0.7000000000000001,0,0,0,0,0,20.400000000000002,0,0,0,0,0.249,80.14,139.59,0.9500000000000001,0.07,1025,3,68,1.7000000000000002
2014,1,1,4,30,23.900000000000002,0.68,0.07,0.7000000000000001,0,0,0,0,1,20.3,0,0,0,0,0.249,80.48,125.94,0.9500000000000001,0.07,1026,3,53,1.6
2014,1,1,5,30,23.900000000000002,0.72,0.066,0.7000000000000001,0,0,0,0,0,20.3,0,0,0,0,0.249,80.53,112.46000000000001,0.9500000000000001,0.07,1026,3,50,1.6
2014,1,1,6,30,24,0.75,0.061,0.7000000000000001,0,0,0,0,1,20.400000000000002,0,0,0,0,0.248,80.11,99.25,0.9400000000000001,0.07,1026,3,63,1.6
2014,1,1,7,30,24.200000000000003,0.79,0.057,0.7000000000000001,23,242,39,0,1,20.400000000000002,23,242,0,39,0.248,79.45,86.25,0.9400000000000001,0.07,1027,3,83,1.7000000000000002
2014,1,1,8,30,24.5,0.84,0.052000000000000005,0.7000000000000001,56,650,233,0,3,20.400000000000002,107,1,0,107,0.248,78.18,74.24,0.93,0.07,1027,3,106,1.7000000000000002
2014,1,1,9,30,24.8,0.91,0.047,0.7000000000000001,70,807,434,0,1,20.400000000000002,70,807,0,434,0.248,76.43,63.14,0.92,0.07,1027,3.1,124,1.6
2014,1,1,10,30,25.200000000000003,0.96,0.043000000000000003,0.7000000000000001,77,884,600,0,0,20.1,77,884,0,600,0.248,73.49,53.71,0.93,0.07,1026,3.1,140,1.5
2014,1,1,11,30,25.6,0.77,0.081,0.7000000000000001,100,877,699,0,1,19.8,100,877,0,699,0.248,70.42,46.980000000000004,0.93,0.07,1025,3.1,158,1.3
