DATE (MM/DD/YYYY),HST,Global Horizontal [W/m^2],Air Temperature [deg C],Avg Wind Speed @ 10m [m/s]
7/4/2018,0:00,-2.11575,23.54,1.114
7/4/2018,0:01,-2.11575,23.54,1.104
7/4/2018,0:02,-2.21567,23.54,1.075
7/4/2018,0:03,-2.67408,23.54,1.186
7/4/2018,0:04,-2.82102,23.53,1.083
7/4/2018,0:05,-2.82101,23.53,1.031
7/4/2018,0:06,-2.821,23.53,1.037
7/4/2018,0:07,-2.821,23.52,0.929
7/4/2018,0:08,-2.821,23.5,0.567
7/4/2018,0:09,-2.821,23.47,0.305
7/4/2018,0:10,-2.821,23.46,0.06
7/4/2018,0:11,-2.82104,23.46,0
7/4/2018,0:12,-2.82106,23.51,0.434
7/4/2018,0:13,-2.82108,23.55,0.875
7/4/2018,0:14,-2.82107,23.55,1.223
7/4/2018,0:15,-2.82107,23.5,1.436
7/4/2018,0:16,-2.82108,23.41,1.555
7/4/2018,0:17,-2.82111,23.33,1.432
7/4/2018,0:18,-2.72706,23.29,1.488
7/4/2018,0:19,-2.16285,23.28,1.459
7/4/2018,0:20,-2.11584,23.28,1.312
7/4/2018,0:21,-2.32154,23.27,1.269
7/4/2018,0:22,-2.7506,23.23,1.214
7/4/2018,0:23,-2.82114,23.19,1.228
7/4/2018,0:24,-2.6801,23.16,1.821
7/4/2018,0:25,-2.5449,23.24,2.038
7/4/2018,0:26,-2.72123,23.38,2.347
7/4/2018,0:27,-2.64484,23.47,2.435
7/4/2018,0:28,-2.20992,23.52,2.907
7/4/2018,0:29,-2.11587,23.52,2.564
7/4/2018,0:30,-2.11587,23.51,2.96
7/4/2018,0:31,-2.11588,23.48,2.538
7/4/2018,0:32,-2.11589,23.46,2.938
7/4/2018,0:33,-2.11589,23.46,2.54
7/4/2018,0:34,-2.1159,23.46,2.104
7/4/2018,0:35,-2.11591,23.46,2.231
7/4/2018,0:36,-2.11591,23.46,2.096
7/4/2018,0:37,-2.11592,23.43,2.777
7/4/2018,0:38,-2.11592,23.42,2.141
7/4/2018,0:39,-2.11592,23.41,2.373
7/4/2018,0:40,-2.11591,23.4,2.537
7/4/2018,0:41,-2.1159,23.39,2.363
7/4/2018,0:42,-2.1159,23.35,2.496
7/4/2018,0:43,-2.11591,23.32,2.468
7/4/2018,0:44,-2.11591,23.29,2.46
7/4/2018,0:45,-2.11591,23.27,2.311
7/4/2018,0:46,-2.304,23.24,2.723
7/4/2018,0:47,-2.45682,23.22,2.87
7/4/2018,0:48,-2.46857,23.2,2.834
7/4/2018,0:49,-2.37453,23.17,2.757
7/4/2018,0:50,-2.14531,23.16,2.62
7/4/2018,0:51,-2.15119,23.16,2.215
7/4/2018,0:52,-2.11592,23.15,2.455
7/4/2018,0:53,-2.11593,23.13,2.301
7/4/2018,0:54,-2.11593,23.12,2.141
7/4/2018,0:55,-2.11593,23.11,2.014
7/4/2018,0:56,-2.25699,23.09,2.128
7/4/2018,0:57,-2.43332,23.08,1.802
7/4/2018,0:58,-2.46271,23.08,1.913
7/4/2018,0:59,-2.46858,23.07,1.891
7/4/2018,1:00,-2.45683,23.06,2.488
7/4/2018,1:01,-2.22173,23.05,2.331
7/4/2018,1:02,-2.11593,23.06,2.319
7/4/2018,1:03,-2.11593,23.06,2.324
7/4/2018,1:04,-2.11593,23.07,2.613
7/4/2018,1:05,-2.11593,23.08,2.527
7/4/2018,1:06,-2.11593,23.09,2.904
7/4/2018,1:07,-2.11593,23.11,2.597
7/4/2018,1:08,-2.11593,23.12,2.272
7/4/2018,1:09,-2.11593,23.15,1.963
7/4/2018,1:10,-2.11593,23.16,2.368
7/4/2018,1:11,-2.11593,23.17,2.045
7/4/2018,1:12,-2.11593,23.18,1.958
7/4/2018,1:13,-2.11593,23.2,1.761
7/4/2018,1:14,-2.11593,23.22,2.138
7/4/2018,1:15,-2.11593,23.22,1.852
7/4/2018,1:16,-2.11593,23.22,1.604
7/4/2018,1:17,-2.11593,23.23,2.494
7/4/2018,1:18,-2.11593,23.24,2.822
