phi_PV,phi_cut,phi_load
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
0.02,0.00,-0.02
0.01,0.00,-0.01
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
0.03,0.00,-0.03
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
-0.02,0.00,0.02
